Genotype,Exp,Loc,Yield,Pro,Oil,Mat
QH4758,23-C-101,Ames01,80.18,36.9,19.15,2.5
QH4758,23-C-101,Sutherland,68.99,,,1.9
QH4758,23-C-101,Jerico,61.85,,,
QH4758,23-C-101,Ames02,69.24,,,
QH4758,23-C-101,Crawfordsville,70.21,34,20.3,1.9
WP2808,23-C-101,Crawfordsville,81.57,34.6,21,1.9
WP2808,23-C-101,Ames01,86.8,36.15,20.05,2.3
WP2808,23-C-101,Sutherland,71.97,,,1.9
WP2808,23-C-101,Ames02,73.43,,,
WP2808,23-C-101,Jerico,61.32,,,
LP4121,23-C-101,Crawfordsville,82.57,34.8,21.05,1.9
LP4121,23-C-101,Jerico,66.99,,,
LP4121,23-C-101,Sutherland,69.09,,,1.9
LP4121,23-C-101,Ames02,68.45,,,
LP4121,23-C-101,Ames01,82.06,36.15,19.6,2.1
GP8966,23-C-101,Jerico,63.35,,,
GP8966,23-C-101,Ames01,81.13,36.05,19,1.9
GP8966,23-C-101,Ames02,63.05,,,
GP8966,23-C-101,Sutherland,63.29,,,1.9
GP8966,23-C-101,Crawfordsville,72.94,34.4,20.15,1.9
QQ3197,23-C-101,Ames02,59.92,,,
QQ3197,23-C-101,Crawfordsville,81.44,32.8,20.9,1.9
QQ3197,23-C-101,Ames01,80.14,35.25,20.3,2.1
QQ3197,23-C-101,Sutherland,61.81,,,1.9
QQ3197,23-C-101,Jerico,66.06,,,
ZO9014,23-C-101,Crawfordsville,83.49,34.65,21.4,1.9
ZO9014,23-C-101,Ames02,59.43,,,
ZO9014,23-C-101,Jerico,69.84,,,
ZO9014,23-C-101,Ames01,89.68,35.9,20.35,2.5
ZO9014,23-C-101,Sutherland,71.02,,,2.1
UM0040,23-C-101,Jerico,63,,,
UM0040,23-C-101,Crawfordsville,82.01,34.8,20,1.9
UM0040,23-C-101,Sutherland,70.43,,,2.3
UM0040,23-C-101,Ames01,91.35,36.65,19.15,2.3
UM0040,23-C-101,Ames02,62.66,,,
RE0215,23-C-101,Sutherland,66.78,,,2.3
RE0215,23-C-101,Ames01,78.47,36.6,19.6,2.1
RE0215,23-C-101,Jerico,68.53,,,
RE0215,23-C-101,Ames02,62.15,,,
RE0215,23-C-101,Crawfordsville,70.69,34.95,20.2,2.1
PK0650,23-C-101,Ames01,82.6,34.8,21.2,1.9
PK0650,23-C-101,Crawfordsville,75.07,33.45,21.55,1.9
PK0650,23-C-101,Sutherland,74.98,,,2.1
PK0650,23-C-101,Ames02,62.5,,,
PK0650,23-C-101,Jerico,61.82,,,
IC5281,23-C-101,Crawfordsville,77.84,33.5,20.9,1.9
IC5281,23-C-101,Ames01,80.87,35,20.5,1.7
IC5281,23-C-101,Sutherland,47.85,,,1.9
IC5281,23-C-101,Ames02,68.41,,,
IC5281,23-C-101,Jerico,57.24,,,
GC9592,23-C-101,Crawfordsville,70.28,33.2,20.9,1.9
GC9592,23-C-101,Ames02,58.56,,,
GC9592,23-C-101,Sutherland,59.42,,,1.9
GC9592,23-C-101,Jerico,59.63,,,
GC9592,23-C-101,Ames01,78.36,34.85,20.15,1.9
ZF5084,23-C-101,Ames01,81.28,36.05,19.55,2.5
ZF5084,23-C-101,Ames02,63.61,,,
ZF5084,23-C-101,Sutherland,63.4,,,2.3
ZF5084,23-C-101,Crawfordsville,77.49,33.7,20.95,2.3
ZF5084,23-C-101,Jerico,61.69,,,
KU3737,23-C-101,Crawfordsville,74.39,35.05,20.95,2.1
KU3737,23-C-101,Sutherland,73.17,,,2.1
KU3737,23-C-101,Ames02,65.34,,,
KU3737,23-C-101,Ames01,80.36,36.6,20.05,2.1
KU3737,23-C-101,Jerico,61.12,,,
MZ3768,23-C-101,Sutherland,67.51,,,2.1
MZ3768,23-C-101,Ames01,75.57,34.7,19.95,2.1
MZ3768,23-C-101,Jerico,68.75,,,
MZ3768,23-C-101,Ames02,66.31,,,
MZ3768,23-C-101,Crawfordsville,77.56,32.85,20.45,1.9
HD1613,23-C-101,Ames02,54.28,,,
HD1613,23-C-101,Crawfordsville,88.87,,,1.9
HD1613,23-C-101,Ames01,87.22,36.55,19.25,2.1
HD1613,23-C-101,Sutherland,46.8,,,2.1
HD1613,23-C-101,Jerico,45.39,,,
MF4139,23-C-101,Crawfordsville,77.38,33.5,21.35,1.9
MF4139,23-C-101,Jerico,60.29,,,
MF4139,23-C-101,Ames02,64.7,,,
MF4139,23-C-101,Ames01,76.81,36,19.95,1.9
MF4139,23-C-101,Sutherland,58.04,,,2.1
TH6079,23-C-101,Ames01,72.43,36.85,19.45,2.5
TH6079,23-C-101,Crawfordsville,77.84,35.5,19.85,2.1
TH6079,23-C-101,Ames02,62.76,,,
TH6079,23-C-101,Sutherland,55,,,2.1
TH6079,23-C-101,Jerico,59.2,,,
ZM0918,23-C-101,Sutherland,61.73,,,2.1
ZM0918,23-C-101,Jerico,60.04,,,
ZM0918,23-C-101,Ames01,77.33,36.35,19.5,1.9
ZM0918,23-C-101,Crawfordsville,78.67,34.2,20.5,2.1
ZM0918,23-C-101,Ames02,66.55,,,
JD5270,23-C-101,Ames02,59.1,,,
JD5270,23-C-101,Jerico,67.74,,,
JD5270,23-C-101,Ames01,86.26,36.25,19.7,2.1
JD5270,23-C-101,Crawfordsville,80.64,35.05,20.35,2.1
JD5270,23-C-101,Sutherland,69.97,,,2.3
MX3582,23-C-101,Ames01,60.28,35.85,19.4,2.1
MX3582,23-C-101,Crawfordsville,79.46,33.95,20.35,2.3
MX3582,23-C-101,Sutherland,67.15,,,1.9
MX3582,23-C-101,Jerico,57.4,,,
MX3582,23-C-101,Ames02,67.87,,,
OX7938,23-C-101,Ames02,69.16,,,
OX7938,23-C-101,Ames01,82.06,36.7,19.95,2.5
OX7938,23-C-101,Jerico,70.18,,,
OX7938,23-C-101,Crawfordsville,86.47,35,20.45,2.1
OX7938,23-C-101,Sutherland,69.24,,,1.9
YX1094,23-C-101,Crawfordsville,88.96,34.85,20.65,2.1
YX1094,23-C-101,Ames01,79.84,36.15,20.15,2.5
YX1094,23-C-101,Ames02,66.96,,,
YX1094,23-C-101,Jerico,63.06,,,
YX1094,23-C-101,Sutherland,74.98,,,1.9
SD6551,23-C-101,Ames01,77.34,36.05,20.15,2.1
SD6551,23-C-101,Jerico,71.77,,,
SD6551,23-C-101,Sutherland,63.92,,,1.9
SD6551,23-C-101,Crawfordsville,85.31,34.9,20.35,2.1
SD6551,23-C-101,Ames02,68.09,,,
MY2923,23-C-101,Jerico,60.58,,,
MY2923,23-C-101,Crawfordsville,88.52,34.9,20.75,2.1
MY2923,23-C-101,Ames02,62.48,,,
MY2923,23-C-101,Ames01,79.48,36.5,19.85,2.5
MY2923,23-C-101,Sutherland,66.84,,,2.1
AR9212,23-C-101,Sutherland,58.96,,,1.9
AR9212,23-C-101,Ames02,70.63,,,
AR9212,23-C-101,Ames01,82.45,37.5,19.05,2.1
AR9212,23-C-101,Jerico,66.3,,,
AR9212,23-C-101,Crawfordsville,80.12,36.15,19.15,1.9
QN8428,23-C-101,Ames02,57.82,,,
QN8428,23-C-101,Ames01,80.75,37.25,19,2.5
QN8428,23-C-101,Crawfordsville,82.93,36.3,19.75,2.1
QN8428,23-C-101,Jerico,63.87,,,
QN8428,23-C-101,Sutherland,58.73,,,2.3
UA5973,23-C-101,Ames01,85.45,38.35,18.7,1.9
UA5973,23-C-101,Ames02,63.42,,,
UA5973,23-C-101,Jerico,60.39,,,
UA5973,23-C-101,Sutherland,51.11,,,1.9
UA5973,23-C-101,Crawfordsville,76.92,37.8,18.8,1.9
HZ6550,23-C-101,Jerico,62.99,,,
HZ6550,23-C-101,Ames01,92.86,38,18.65,1.9
HZ6550,23-C-101,Sutherland,61.64,,,2.1
HZ6550,23-C-101,Ames02,65.48,,,
HZ6550,23-C-101,Crawfordsville,81.62,35.6,19.5,1.9
ZC2544,23-C-101,Sutherland,72.69,,,2.1
ZC2544,23-C-101,Crawfordsville,73.57,34.25,20.55,2.1
ZC2544,23-C-101,Ames02,69.68,,,
ZC2544,23-C-101,Ames01,85.75,36.85,19.2,1.9
ZC2544,23-C-101,Jerico,65.75,,,
DH6933,23-C-101,Crawfordsville,85.21,34.25,21.4,2.3
DH6933,23-C-101,Ames01,83.63,35.35,20.65,1.9
DH6933,23-C-101,Ames02,69.91,,,
DH6933,23-C-101,Jerico,61.93,,,
DH6933,23-C-101,Sutherland,62.5,,,2.1
KL0426,23-C-101,Crawfordsville,87.23,34.85,19.65,2.1
KL0426,23-C-101,Sutherland,52.68,,,2.3
KL0426,23-C-101,Jerico,57.55,,,
KL0426,23-C-101,Ames01,85.6,36.15,19.3,2.5
